"IMAGE_NAME","DS10","DS20","DS30","DS40","DS50","DS60","DS70","DS80","DS90","cluster_label"
"DSC_7133.JPG",1.76821,3.01556,3.49862,3.63308,3.51064,3.20096,2.75308,2.24726,1.71272,2
"DSC_7144.JPG",1.12198,1.77302,1.99977,1.9913,1.83205,1.65033,1.592,1.60018,1.55572,1
"DSC_7146.JPG",1.08102,1.35404,1.42287,1.28952,1.09454,1.23353,1.30874,1.36801,1.35431,4
"DSC_7147.JPG",1.37737,1.99805,2.14567,2.16413,2.11764,1.97885,2.09971,2.28351,1.9581,3
"DSC_7177.JPG",0.847932,1.53558,1.96458,2.25327,2.28521,2.1776,1.87148,1.56202,1.24245,1
"DSC_7192.JPG",0.714933,1.27674,1.72109,1.85359,1.82104,1.81795,1.77694,1.6497,1.28668,0
"DSC_7051.JPG",1.06555,1.87583,2.45593,2.78819,2.75669,2.47106,1.75409,1.19065,1.00443,2
"DSC_7180.JPG",1.07089,1.40192,1.74064,1.72368,1.57585,1.65103,1.51052,1.22108,1.28964,4
"DSC_7331.JPG",0.912125,1.45431,1.83491,2.02663,1.92003,1.7149,1.77004,1.58968,1.07158,1
"DSC_7342.JPG",1.35739,1.36347,1.01069,1.05938,1.07372,1.70814,1.98325,1.8256,1.29112,4
"DSC_7350.JPG",1.13182,1.28709,1.33485,1.49601,1.5143,1.48109,1.47604,1.42526,1.20947,4
"DSC_7532.JPG",0.878133,1.43763,1.41565,1.21478,1.35613,1.4624,1.66498,1.86022,1.5086,4
"DSC_7541.JPG",0.69613,1.13058,1.3118,1.40828,1.57679,1.7882,1.96439,2.05935,1.72212,0
"DSC_7545.JPG",1.18311,0.949572,1.32792,1.64765,1.68148,1.59064,1.59359,1.46988,1.10853,4
"DSC_7549.JPG",1.08667,1.43839,1.59834,1.68275,1.8409,1.71656,1.37554,1.40318,1.12268,4
"DSC_7666.JPG",0.601558,1.69749,2.4211,2.78315,2.80945,2.62106,2.35735,2.18913,1.66023,3
"DSC_7033.JPG",1.08126,1.86638,2.15248,2.21622,2.30691,2.42685,2.55354,2.52762,2.16084,3
"DSC_7053.JPG",1.26988,1.7105,1.98678,2.14773,2.1056,1.97602,1.8424,1.47737,0.676388,1
"DSC_7067.JPG",1.19402,1.60686,1.78672,2.00045,2.08633,1.98214,1.73933,1.41818,1.10767,1
"DSC_7073.JPG",1.3024,2.13136,2.57194,2.77345,2.81596,2.67554,2.41062,1.99845,1.35717,2
"DSC_7343.JPG",1.17691,1.6575,2.04564,2.10361,1.84218,1.93406,1.92736,1.8456,1.63103,1
"DSC_7515.JPG",1.08004,1.37822,1.40806,1.59502,1.90208,2.03575,1.92544,1.5689,1.31748,0
"DSC_7516.JPG",1.47868,1.7467,1.64771,1.49299,1.36525,1.48986,1.47361,1.56196,1.6328,4
"DSC_7534.JPG",0.998052,1.81798,2.12358,2.33567,2.62475,2.93122,3.2443,3.10197,2.52972,3
"DSC_7096.JPG",1.70328,2.20972,2.28849,2.08164,1.72796,1.4932,1.52647,1.34597,1.13199,1
"DSC_7106.JPG",0.750931,1.28163,1.99436,2.43864,2.63406,2.42072,1.995,1.24033,1.13611,1
"DSC_7149.JPG",1.01738,1.81054,2.03494,2.14485,2.11827,1.7952,1.37708,1.46669,1.0677,1
"DSC_7175.JPG",0.93716,1.45727,1.83141,2.13408,2.34857,2.42617,2.14945,1.56045,0.796637,1
"DSC_7179.JPG",1.12668,1.08165,0.871648,1.00337,1.42245,1.6163,1.60625,1.26491,0.956009,4
"DSC_7188.JPG",1.2911,1.72824,1.93604,2.03122,2.00093,1.85588,1.75389,1.68314,1.42086,1
"DSC_7201.JPG",1.00235,1.59248,1.91708,2.09263,2.1821,2.26603,2.21505,1.94526,1.34779,3
"DSC_7514.JPG",1.03529,1.55941,1.77324,1.9838,2.16293,2.23692,2.27805,2.14376,1.66958,3
"DSC_7517.JPG",1.22599,1.565,1.7431,1.8451,1.82524,1.61472,1.2028,1.14786,1.1273,4
"DSC_7521.JPG",1.2777,1.48261,1.20722,1.04551,1.43604,1.81817,1.98821,1.89653,1.56898,0
"DSC_7529.JPG",0.814568,1.59863,2.28703,2.4854,2.43025,2.01411,1.61721,1.34098,1.22462,1
"DSC_7665.JPG",1.79347,2.46765,2.62159,2.60861,2.43226,2.21251,1.83655,1.09887,0.53755,2
